director,genre,image,imdb_id,rating,title,year,international_earnings,domestic_earnings,release_date,worldwide_earnings
Lee Unkrich,"['animation', 'adventure', 'comedy', 'family', 'fantasy']",https://m.media-amazon.com/images/M/MV5BMTgxOTY4Mjc0MF5BMl5BanBnXkFtZTcwNTA4MDQyMw@@._V1_.jpg,tt0435761,8.3,Toy Story 3,2010,651964823,415004880,2010-06-12,1066969703
John Lasseter,"['animation', 'adventure', 'comedy', 'family', 'sport']",https://m.media-amazon.com/images/M/MV5BMTUzNTc3MTU3M15BMl5BanBnXkFtZTcwMzIxNTc3NA@@._V1_.jpg,tt1216475,6.1,Cars 2,2011,368400000,191452396,2011-06-18,559852396
Mark Andrews,"['animation', 'adventure', 'comedy', 'family', 'fantasy']",https://m.media-amazon.com/images/M/MV5BMzgwODk3ODA1NF5BMl5BanBnXkFtZTcwNjU3NjQ0Nw@@._V1_.jpg,tt1217209,7.1,Brave,2012,301700000,237283207,2012-06-10,538983207
Dan Scanlon,"['animation', 'adventure', 'comedy', 'family', 'fantasy']",https://m.media-amazon.com/images/M/MV5BMTUyODgwMDU3M15BMl5BanBnXkFtZTcwOTM4MjcxOQ@@._V1_.jpg,tt1453405,7.3,Monsters University,2013,475066843,268492764,2013-06-05,743559607
Pete Docter,"['animation', 'adventure', 'comedy', 'drama', 'family', 'fantasy']",https://m.media-amazon.com/images/M/MV5BOTgxMDQwMDk0OF5BMl5BanBnXkFtZTgwNjU5OTg2NDE@._V1_.jpg,tt2096673,8.2,Inside Out,2015,501149463,356461711,2015-05-18,857611174
Peter Sohn,"['animation', 'adventure', 'comedy', 'drama', 'family', 'fantasy']",https://m.media-amazon.com/images/M/MV5BMTc5MTg2NjQ4MV5BMl5BanBnXkFtZTgwNzcxOTY5NjE@._V1_.jpg,tt1979388,6.7,The Good Dinosaur,2015,209120551,123087120,2015-11-10,332207671
Andrew Stanton,"['animation', 'adventure', 'comedy', 'family']",https://m.media-amazon.com/images/M/MV5BNzg4MjM2NDQ4MV5BMl5BanBnXkFtZTgwMzk3MTgyODE@._V1_.jpg,tt2277860,7.3,Finding Dory,2016,542275328,486295561,2016-06-08,1028570889
Brian Fee,"['animation', 'adventure', 'comedy', 'family', 'sport']",https://m.media-amazon.com/images/M/MV5BMTc0NzU2OTYyN15BMl5BanBnXkFtZTgwMTkwOTg2MTI@._V1_.jpg,tt3606752,6.7,Cars 3,2017,231029541,152901115,2017-06-10,383930656
Lee Unkrich,"['animation', 'adventure', 'family', 'fantasy', 'music', 'mystery']",https://m.media-amazon.com/images/M/MV5BYjQ5NjM0Y2YtNjZkNC00ZDhkLWJjMWItN2QyNzFkMDE3ZjAxXkEyXkFqcGdeQXVyODIxMzk5NjA@._V1_.jpg,tt2380307,8.4,Coco,2017,597356181,209726015,2017-10-20,807082196
Brad Bird,"['animation', 'action', 'adventure', 'comedy', 'family', 'sci-fi']",https://m.media-amazon.com/images/M/MV5BMTEzNzY0OTg0NTdeQTJeQWpwZ15BbWU4MDU3OTg3MjUz._V1_.jpg,tt3606756,7.7,Incredibles 2,2018,634223615,608581744,2018-06-05,1242805359
Josh Cooley,"['animation', 'adventure', 'comedy', 'family', 'fantasy']",https://m.media-amazon.com/images/M/MV5BMTYzMDM4NzkxOV5BMl5BanBnXkFtZTgwNzM1Mzg2NzM@._V1_.jpg,tt1979376,7.9,Toy Story 4,2019,639356585,434038008,2019-06-11,1073394593
